Unnamed: 0,PC 1,PC 2,PC 3
42,-0.32615008104342263,1.027370723440121,-0.5366278205832894
,-0.3094725778445575,1.0275051400733306,-0.5370451426917702
404,2.302212458617926,1.606103838322553,-0.5228779303747623
,-0.14689199648711068,-1.3367622354690305,0.21320522871651099
,-0.1500555776140405,-2.0445733400269614,0.3504063444653401
1337,-0.1593020723820244,-1.1102115165724473,-0.04468651137645295
,-0.3871338817615897,1.209609984589011,-0.4260235947737737
BTC,-0.15091651215879637,-2.2308822272696855,0.37705574303653117
ETH,-0.14849733398057946,-2.0446736781329165,0.3503991638864695
LTC,-0.14830221795727333,-2.0925899890291526,0.5498612231612594
DASH,-0.31710118467726284,1.6081246604640387,0.07332545513113164
XMR,0.15780458627183028,-1.825406823810318,0.33531972013022376
ETC,-0.3125698624564735,0.8007958585245464,-0.27875589990181315
ZEC,-0.27792225533650056,0.6190362151271261,-0.009233461948887469
BTS,-0.16044919282598655,-1.1102021626931062,-0.04466304773374877
DGB,-0.24640650730414038,1.8612263354674572,-0.6726980143792604
BTCD,-0.22164069582654092,-0.9279530428037563,0.06594312579176739
,-0.16006560171980208,-1.110220738450485,-0.04466654105250137
,-0.3258093906988055,1.027369313308463,-0.5366351746423894
XPY,-0.318378308089193,1.0276079718986457,-0.5368714945413884
PRC,-0.0957578325414684,-1.8197652901974088,0.33949914478242527
,2.5617591516146363,-1.297544309953371,-0.05381074669675695
,-0.14397460738458345,-1.3367779757348763,0.21314328738316424
,-0.1573191557034089,-1.110267900774892,-0.0447157391777923
KOBO,-0.1598696692795498,-1.1102401126351935,-0.04466553977993388
,-0.3246449193179616,1.0274166714479525,-0.5366750130025267
,-0.22981644882136362,-0.4627730473200756,0.06675794049507801
SPR,-0.19427378116823737,-1.2195911185226045,0.09466278356558837
,-0.15991811042836293,-1.110205083841989,-0.04467430783381768
,-0.32614601624389644,1.0273704953972207,-0.5366278488092695
,-0.16043143795506895,-1.1102016206912682,-0.044663604414901165
,-0.32613028292036605,1.0273706235290458,-0.5366282428784809
,-0.16051793640803944,-1.1101987252946945,-0.04466245224575394
,-0.22173012846699922,-0.927954364274951,0.06594553292155052
,0.6619752918210381,0.3878093617210197,-0.15888821093578523
,-0.36088531905591414,0.9179952553408706,-0.3972850706413427
,0.18161500705283937,-1.8215492767342558,0.3336910298850097
ARG,0.23124284130033917,-1.3399947974056508,0.20551274408605544
,0.08840452586416458,-1.1120989058612254,-0.04979052289774555
AUR,-0.16026399124593252,-1.1101965090560069,-0.044668854491200276
,-0.15586621250948116,-1.1102586165294621,-0.04475141263995801
,-0.16020329569299455,-1.1102024036906206,-0.04466857448596159
BLU,-0.3681362482030666,1.5837074656617913,-0.10264356117466501
,-0.2644974864823106,0.4030071161749861,-0.3902041688675688
XMY,-0.16057499229390532,-1.1101991258854167,-0.044661041232647
MOON,-0.17929159510964493,-1.6511918600993611,0.22554028844049154
ZET,-0.139783384745542,-1.110557067316893,-0.04503323407368294
SXC,-0.15936911789981462,-1.110203702832641,-0.044687187660235404
QTL,-0.15964690915410779,-1.1102137646330297,-0.04467803219580147
ENRG,-0.32420751278870724,1.0273455061227972,-0.5366649123807811
QRK,-0.33228657923095234,1.0284757799944102,-0.1571369730252025
RIC,1.5897171511494825,-1.1205712483695227,-0.08156115052026074
DGC,-0.3870284564959244,1.2096132028995281,-0.42602690024744344
,-0.14685332041444776,-1.3367610548069775,0.2132040160779756
BTB,-0.15693455150919283,-1.1102670211139651,-0.04472473756915918
,-0.16029045651921145,-1.1101966126430305,-0.04466822316442256
,-0.1606455488209474,-1.1101943170166844,-0.04466079094057102
,-0.3860722186752436,1.9787413054332645,-0.6864908061507992
,-0.15990423003485424,-1.1102003172991528,-0.04467596672677132
,-0.1514470440307365,-2.2564833026594884,0.38572169750031704
,-0.031123285725762978,0.8535529683249675,-0.27526735199741625
CAT,-0.16052674001340778,-1.1101967824872896,-0.04466279937765219
CBX,-0.2758517181256035,0.8002283629759067,-0.2794314069722293
CCN,-0.2912534664937022,0.8456005946530752,-0.26710809354913684
,-0.28237247825147677,1.7484719999132625,-0.5041889625005195
,-0.02538479217978899,-1.1166290203742006,-0.045925118351125505
,-0.14693102237429717,-1.3367634268098663,0.21320645232303487
,-0.1541856349945922,-1.110233519538469,-0.04479672085889849
,-0.28299540434202736,1.7484529838872926,-0.5041694314537704
,-0.3496412556384664,0.48645831777502946,-0.26634049417237393
,-0.3204488949483389,1.0272489501979418,-0.5367232216582943
,-0.3245507108798111,1.0273505243040004,-0.5366585179183865
,0.03240419325354517,1.0383162874702423,-0.5478698289127766
CRYPT,-0.16050623937183925,-1.1102039041494587,-0.04466125911264149
CSC,-0.15860004077503723,-1.1103070022736992,-0.044675578673048784
,-0.1599926034192768,-1.1102094947818277,-0.04467137008075878
DMD,-0.35219610723475925,1.0278680030730123,-0.15651273536989133
XVG,-0.38740029309867013,1.2096173461303537,-0.4260196076628758
,-0.13407444542373098,-1.3369815974868147,0.21297541383069096
,-0.2597927528279536,0.1363578442404496,0.11771988983644273
DVC,-0.1463943531346073,-1.3367653646055304,0.21319478802801367
EAC,-0.33355116793380324,1.6246060650062502,-0.17151663811258563
EFL,-0.3873119052739724,1.209613001877037,-0.4260203945695182
,-0.14668185892326965,-1.3367706112639457,0.21320280773804798
EMC2,-0.14666510766417193,-1.3367968639348626,0.2132098239218852
EMD,-0.14725591409073688,-1.3367587301870105,0.21321252088488957
EXCL,-0.22190409322646212,-0.9279469971852734,0.06594741512176558
,-0.3013655095745998,1.0270004137789113,-0.537087376418866
